,dataset,kecamatan,gender,latitude,longitude,panjang,lebar,ac,air_panas,bak_mandi,bantal,bathtub,cctv,cermin,cleaning_service,dapur,dispenser,ember_mandi,guling,jemuran,kamar_mandi_dalam,kamar_mandi_luar,kartu_akses,kasur,kipas_angin,kloset_duduk,kloset_jongkok,kulkas,kursi,laundry,lemari_baju,locker,meja,meja_makan,microwave,mushola,parkir_mobil,parkir_motor,parkir_sepeda,penjaga_kos,rice_cooker,ruang_santai,shower,sofa,taman,termasuk_listrik,tv,wastafel,wifi,harga,luas,kategori_harga,total_facilities,jumlah_fasilitas_premium,jumlah_fasilitas_non_premium,jumlah_fasilitas_netral,luas_m2
612,telkom,dayeuhkolot,Kos Putri,-6.9779726087306,107.62946784656,2.5,2.0,0,0,0,1,0,1,1,0,1,0,0,0,1,1,1,0,1,0,1,0,0,1,1,1,0,1,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,800000,5.0,Low,20,7,3,10,5.0
613,telkom,bojongsoang,Kos Putra,-6.975157,107.63515,3.0,3.0,0,0,1,1,0,0,0,0,1,0,1,1,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,700000,9.0,Low,15,1,8,6,9.0
614,telkom,dayeuhkolot,Kos Putri,-6.979085,107.6299543,3.0,3.0,0,1,0,1,0,1,0,0,0,1,1,0,1,1,0,0,1,0,1,0,1,1,1,1,0,1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,1,1300000,9.0,Medium,20,7,3,10,9.0
615,telkom,bojongsoang,Kos Putri,-6.972157,107.64122,3.0,3.0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,1,1100000,9.0,Medium,15,6,3,6,9.0
616,telkom,dayeuhkolot,Kos Putra,-6.975553,107.629854,2.5,3.0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1000000,7.5,Low,13,3,4,6,7.5
617,telkom,dayeuhkolot,Kos Putri,-6.97001,107.633682,3.0,4.0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,775000,12.0,Low,12,2,4,6,12.0
618,telkom,bojongsoang,Kos Putra,-6.971445,107.643509,3.0,4.0,0,0,0,1,0,1,1,0,1,0,1,0,1,1,1,0,1,0,0,1,1,1,1,1,0,1,0,0,0,1,1,1,0,0,1,1,0,0,1,0,0,1,1000000,12.0,Low,22,7,6,9,12.0
619,telkom,buahbatu,Kos Putri,-6.9587,107.645185,3.0,3.0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,850000,9.0,Low,13,0,7,6,9.0
620,telkom,bojongsoang,Kos Putra,-6.969927,107.636327,3.0,4.0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1200000,12.0,Medium,13,6,4,3,12.0
621,telkom,bojongsoang,Kos Putri,-6.971989,107.637638,3.0,3.0,1,0,0,1,0,1,1,1,1,0,0,1,1,1,0,0,1,0,1,0,1,1,1,1,0,1,0,0,0,1,1,1,1,0,1,1,0,0,0,0,1,1,1400000,9.0,Medium,24,9,2,13,9.0
622,telkom,bojongsoang,Kos Putra,-6.974258,107.635591,3.0,3.0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,500000,9.0,Lowest,16,1,7,8,9.0
